GEOID,year,county-response-rate,us-response-rate
54067,2020,54.2,67
54069,2020,63.8,67
54071,2020,31.9,67
54073,2020,67.4,67
54075,2020,25.1,67
54077,2020,60,67
54079,2020,62.9,67
54081,2020,57.1,67
54083,2020,45.8,67
54085,2020,42.8,67
54087,2020,60.8,67
54089,2020,33.7,67
54091,2020,64,67
54093,2020,41.8,67
54095,2020,47.6,67
54097,2020,61.6,67
54099,2020,53.9,67
54101,2020,44.5,67
54103,2020,50.3,67
54105,2020,39.5,67
54107,2020,70.4,67
54109,2020,36.7,67
54001,2020,47.6,67
28001,2020,59.6,67
28003,2020,61.9,67
28005,2020,45.2,67
28007,2020,56,67
28009,2020,52.9,67
28011,2020,56.6,67
28013,2020,50.8,67
28015,2020,46,67
48205,2020,60.2,67
28017,2020,60.3,67
48209,2020,61,67
48201,2020,62.9,67
48207,2020,44.5,67
48211,2020,42.9,67
48213,2020,54.3,67
48215,2020,54.5,67
48219,2020,56.2,67
48221,2020,66.7,67
48225,2020,46.9,67
48227,2020,52.6,67
48229,2020,22.9,67
48231,2020,60.7,67
48233,2020,52.2,67
48235,2020,42.3,67
48237,2020,50.4,67
48239,2020,51.1,67
48241,2020,43,67
48243,2020,29.3,67
48245,2020,58.7,67
48247,2020,38.3,67
48249,2020,46.9,67
48251,2020,70.3,67
48253,2020,54.3,67
48255,2020,38,67
48257,2020,68.9,67
48259,2020,68.4,67
48261,2020,25.6,67
48263,2020,33.7,67
48265,2020,63.5,67
48267,2020,36.9,67
48269,2020,27,67
48271,2020,26,67
48273,2020,50,67
48275,2020,39.9,67
48277,2020,59.5,67
48279,2020,45.9,67
48283,2020,28.2,67
48285,2020,55.8,67
48287,2020,54.6,67
48289,2020,34.5,67
48293,2020,48.7,67
48295,2020,42.6,67
48299,2020,47.4,67
48303,2020,63.2,67
48307,2020,48.2,67
48309,2020,61.9,67
48313,2020,46.5,67
48315,2020,46.4,67
48319,2020,42.1,67
48323,2020,53.4,67
48325,2020,52.7,67
48329,2020,57.8,67
48331,2020,45.9,67
48333,2020,42,67
48337,2020,55.5,67
48339,2020,67.2,67
48341,2020,51.3,67
48345,2020,45.3,67
48347,2020,54.2,67
48359,2020,50.7,67
48351,2020,36.3,67
48353,2020,55.5,67
48355,2020,56.9,67
48361,2020,55.2,67
48363,2020,48.6,67
48367,2020,70.9,67
48369,2020,48.4,67
48371,2020,46.8,67
48375,2020,58.8,67
48377,2020,28.1,67
48379,2020,51.3,67
48383,2020,45.3,67
48385,2020,20.3,67
48389,2020,41.2,67
48391,2020,41.8,67
48393,2020,47.9,67
48397,2020,74.5,67
48399,2020,53.9,67
48401,2020,54.1,67
48403,2020,31,67
48407,2020,44.7,67
48409,2020,52.6,67
48411,2020,45.6,67
48413,2020,32.9,67
28025,2020,60,67
28019,2020,54.4,67
28021,2020,47.7,67
28023,2020,54.9,67
28027,2020,53.3,67
28029,2020,56.8,67
28031,2020,54.1,67
28033,2020,73.2,67
28035,2020,61.6,67
28037,2020,38.7,67
28039,2020,57.1,67
28041,2020,50,67
28043,2020,56.4,67
28045,2020,59.5,67
28047,2020,65.8,67
28049,2020,62.5,67
28051,2020,52.7,67
28053,2020,55.4,67
28055,2020,33.8,67
28057,2020,63.1,67
28059,2020,67.3,67
28063,2020,44.8,67
28065,2020,51.8,67
28067,2020,56.5,67
28069,2020,50.4,67
28071,2020,52.4,67
28073,2020,64.2,67
28075,2020,58.6,67
28077,2020,48,67
28079,2020,59,67
28083,2020,56.8,67
28085,2020,58.6,67
28087,2020,64,67
28089,2020,72.4,67
28097,2020,56,67
28091,2020,57.4,67
28093,2020,61.1,67
28095,2020,61.3,67
28099,2020,57.8,67
28101,2020,60.2,67
28103,2020,45.6,67
28105,2020,53.1,67
28107,2020,57.9,67
28109,2020,58.5,67
28111,2020,48.6,67
28113,2020,53.7,67
28115,2020,61.5,67
28117,2020,63.2,67
28119,2020,47.8,67
28121,2020,69.6,67
28123,2020,56.6,67
28125,2020,47.6,67
28127,2020,57.4,67
28129,2020,47.2,67
28131,2020,58,67
28133,2020,59.5,67
28135,2020,34.7,67
28137,2020,66.1,67
28139,2020,57.4,67
28141,2020,52.6,67
28143,2020,47,67
28145,2020,64.9,67
28149,2020,61.7,67
28151,2020,56.3,67
28153,2020,56.1,67
28157,2020,32.3,67
28159,2020,62,67
28163,2020,55.2,67
28155,2020,55.9,67
28161,2020,56.5,67
28061,2020,40.4,67
28147,2020,54.2,67
28081,2020,65,67
02016,2020,23.1,67
02020,2020,68.1,67
02050,2020,39.6,67
02063,2020,45.9,67
48415,2020,56.8,67
48417,2020,45.8,67
48419,2020,46.4,67
48421,2020,50,67
48423,2020,62.9,67
48427,2020,49,67
48429,2020,48.8,67
48431,2020,34.1,67
48433,2020,32.8,67
48435,2020,33.1,67
48437,2020,52.8,67
48439,2020,68.9,67
48441,2020,60.8,67
48443,2020,29.8,67
48445,2020,52.8,67
48447,2020,39.5,67
48457,2020,39.8,67
48451,2020,66.3,67
48453,2020,67.3,67
48455,2020,38.1,67
48459,2020,58.8,67
48461,2020,34,67
48463,2020,40.8,67
48465,2020,54.8,67
48467,2020,57.7,67
48469,2020,61.5,67
48471,2020,48.7,67
48473,2020,53.9,67
48475,2020,46.6,67
48477,2020,60.1,67
48479,2020,52.7,67
48481,2020,56.3,67
48483,2020,44,67
48485,2020,64.8,67
48489,2020,42.8,67
48491,2020,71.9,67
48495,2020,49,67
48497,2020,62.3,67
48499,2020,57.2,67
48503,2020,58.9,67
48505,2020,25.1,67
48081,2020,31.2,67
48087,2020,47.3,67
48097,2020,62.8,67
48103,2020,52.6,67
48111,2020,45.2,67
48117,2020,55.1,67
48127,2020,33.5,67
48133,2020,46.1,67
48149,2020,53.4,67
48157,2020,75.8,67
48165,2020,46.5,67
48173,2020,36.2,67
48181,2020,63.6,67
48189,2020,52.6,67
48195,2020,51.9,67
48203,2020,58.6,67
48281,2020,62,67
48291,2020,49.5,67
48297,2020,31,67
48305,2020,44.1,67
48311,2020,23.2,67
48321,2020,40.8,67
48327,2020,28.5,67
48335,2020,44.3,67
48343,2020,48.8,67
48349,2020,56.2,67
48357,2020,55.2,67
48365,2020,53.3,67
48373,2020,43.1,67
48381,2020,70.1,67
48387,2020,50.3,67
48395,2020,47.1,67
48405,2020,31.1,67
48493,2020,65.6,67
48501,2020,48.4,67
48507,2020,37.2,67
48487,2020,57,67
48187,2020,71,67
48223,2020,61.2,67
48317,2020,36.2,67
48079,2020,43.5,67
48199,2020,58.7,67
48217,2020,56.7,67
48301,2020,19.2,67
02068,2020,20.9,67
02070,2020,34.3,67
02090,2020,53.7,67
02100,2020,33.8,67
02105,2020,31.6,67
02110,2020,69.7,67
02122,2020,44.1,67
02130,2020,59.5,67
02150,2020,57.1,67
02170,2020,39.3,67
02180,2020,31.7,67
02185,2020,38.3,67
02188,2020,31.1,67
02195,2020,54.7,67
02198,2020,31.6,67
02220,2020,60.4,67
02230,2020,28.6,67
02240,2020,24,67
02275,2020,41.7,67
02282,2020,33.9,67
02013,2020,31.8,67
53003,2020,72,67
53005,2020,75.3,67
53007,2020,58.2,67
53009,2020,70.7,67
53011,2020,76.7,67
53013,2020,58.9,67
53015,2020,71.7,67
53017,2020,63.7,67
53019,2020,43,67
53021,2020,68.5,67
53023,2020,60.6,67
53025,2020,57.1,67
53027,2020,59.3,67
53029,2020,69.6,67
53031,2020,66.4,67
53033,2020,76.4,67
53035,2020,75.1,67
53037,2020,56.5,67
53039,2020,51.6,67
53041,2020,64.7,67
53043,2020,53.6,67
53045,2020,54.9,67
53047,2020,43.6,67
53049,2020,41.6,67
53051,2020,43.7,67
53053,2020,73,67
53055,2020,43.9,67
53057,2020,66.7,67
53059,2020,49.5,67
53067,2020,75.7,67
53061,2020,75.8,67
53063,2020,75,67
53065,2020,55.4,67
53069,2020,56.2,67
53071,2020,71.2,67
53073,2020,73,67
53075,2020,62.2,67
53077,2020,66.7,67
53001,2020,55.3,67
72001,2020,31.6,67
72003,2020,32.5,67
72005,2020,32.5,67
72007,2020,29,67
72009,2020,36.1,67
72011,2020,34.4,67
72013,2020,35.2,67
72017,2020,33.3,67
72019,2020,32.4,67
72021,2020,44.7,67
72023,2020,30.8,67
72025,2020,41.1,67
72027,2020,37.4,67
72029,2020,31.4,67
72031,2020,40.1,67
49005,2020,77.4,67
48425,2020,52.8,67
48141,2020,66.8,67
49003,2020,73.8,67
49007,2020,61.4,67
49009,2020,21.6,67
49011,2020,81.2,67
49013,2020,31.9,67
49015,2020,42,67
49017,2020,26,67
49019,2020,53.9,67
49021,2020,63.2,67
49023,2020,67.1,67
49025,2020,35.2,67
49027,2020,56.5,67
49029,2020,80.7,67
49031,2020,29,67
49033,2020,13.3,67
49035,2020,74.3,67
49037,2020,37.6,67
49039,2020,54.1,67
49041,2020,60.5,67
49043,2020,41.3,67
49045,2020,71.6,67
49047,2020,59.5,67
49049,2020,76.1,67
49051,2020,58,67
49053,2020,66.2,67
49055,2020,35.7,67
49057,2020,72.5,67
49001,2020,45.2,67
48449,2020,56.7,67
48073,2020,52.4,67
42007,2020,71.9,67
42015,2020,62.2,67
42009,2020,67.8,67
42011,2020,74.7,67
42013,2020,71.8,67
42017,2020,79.5,67
42019,2020,76.3,67
42021,2020,69.3,67
42023,2020,43.1,67
42025,2020,61.3,67
42027,2020,65.9,67
42029,2020,78.3,67
42031,2020,60.5,67
42033,2020,64.9,67
42035,2020,62,67
42037,2020,65.5,67
42039,2020,64.7,67
42041,2020,76.9,67
42043,2020,69.2,67
42045,2020,73.4,67
42047,2020,67.4,67
42049,2020,73.1,67
42051,2020,64.3,67
42053,2020,26.9,67
42055,2020,74.9,67
42057,2020,68.4,67
42059,2020,62.8,67
42061,2020,60.8,67
42063,2020,65.4,67
42065,2020,61.9,67
42067,2020,68,67
42069,2020,66,67
42071,2020,77.8,67
42073,2020,70.4,67
42075,2020,74.8,67
42077,2020,76.2,67
42079,2020,65.8,67
42081,2020,67.2,67
42083,2020,64.5,67
42085,2020,70.7,67
42087,2020,69.1,67
42089,2020,55,67
42091,2020,77.9,67
42093,2020,60.8,67
42095,2020,77,67
42097,2020,65.7,67
42099,2020,70.1,67
42101,2020,57,67
72033,2020,39.5,67
72035,2020,34.6,67
72037,2020,28.5,67
72039,2020,30.5,67
72041,2020,36.2,67
72043,2020,39.3,67
72045,2020,31.2,67
72047,2020,34.3,67
72049,2020,18.4,67
72051,2020,39.1,67
72057,2020,36.6,67
72053,2020,30.7,67
72054,2020,35.8,67
72055,2020,25.9,67
72059,2020,34.4,67
72063,2020,39.4,67
72065,2020,35.2,67
72067,2020,42.3,67
72069,2020,31.4,67
72071,2020,29.5,67
72073,2020,31.8,67
72075,2020,39.3,67
72077,2020,35.8,67
72079,2020,33,67
72081,2020,28.3,67
72083,2020,28.6,67
72085,2020,34,67
72087,2020,31,67
72089,2020,27.5,67
72091,2020,36.3,67
72093,2020,24.8,67
72095,2020,27.1,67
72097,2020,33.2,67
72099,2020,31.9,67
72101,2020,29.5,67
72103,2020,31.4,67
72105,2020,32.5,67
72107,2020,34.5,67
72111,2020,36.8,67
72113,2020,38.2,67
72115,2020,34.1,67
72117,2020,24.2,67
72119,2020,33.8,67
72121,2020,38.7,67
72123,2020,32.8,67
72125,2020,35.9,67
72127,2020,35.3,67
72131,2020,30.7,67
72133,2020,38.9,67
